id,name,lat,lon,rating,preference
59,Đỗ Anh Quân,10.789148,106.665502,3.8,Trò chuyện
60,Vũ Hữu Dũng,10.742498,106.629618,5.0,Im lặng
61,Dương Quang Đạt,10.765188,106.659574,4.0,Im lặng
62,Ngô Ngọc Lâm,10.813125,106.652689,4.5,Im lặng
63,Trần Hữu Đạt,10.813251,106.66339,4.2,Trò chuyện
64,Bùi Đức Bình,10.801896,106.741204,3.8,Im lặng
65,Lê Quang Nam,10.825069,106.67377,3.8,Im lặng
66,Phan Quang Phúc,10.78414,106.735305,4.6,Trò chuyện
67,Lê Hữu Dũng,10.806123,106.602246,3.9,Trò chuyện
68,Hồ Minh Sơn,10.741928,106.738587,3.6,Im lặng
69,Vũ Anh Lâm,10.707416,106.624095,3.8,Im lặng
70,Đặng Đức Sơn,10.817101,106.701715,4.2,Trò chuyện
71,Dương Đức Nghĩa,10.802837,106.717747,3.6,Im lặng
72,Hoàng Thị Tuấn,10.837416,106.714106,4.0,Im lặng
73,Nguyễn Ngọc Nam,10.737873,106.641785,3.7,Im lặng
74,Bùi Ngọc Tuấn,10.80379,106.722495,3.7,Im lặng
75,Lý Minh Trí,10.749782,106.749793,3.6,Trò chuyện
76,Dương Minh Vinh,10.84321,106.632017,4.5,Trò chuyện
77,Hoàng Văn Tuấn,10.827866,106.691549,4.3,Im lặng
78,Hồ Ngọc Thịnh,10.761107,106.747125,4.1,Trò chuyện
79,Phạm Quang Quân,10.730738,106.60368,3.7,Trò chuyện
80,Đỗ Đức An,10.781721,106.660571,4.2,Im lặng
81,Dương Thị Tùng,10.772013,106.693677,4.8,Im lặng
82,Đặng Quang Minh,10.747299,106.617559,4.2,Im lặng
83,Đỗ Ngọc Trung,10.703148,106.643792,3.8,Trò chuyện
84,Phạm Ngọc Trí,10.702156,106.715624,3.7,Im lặng
85,Ngô Thị Thắng,10.755919,106.691645,4.6,Trò chuyện
86,Võ Văn Thịnh,10.706606,106.665722,4.3,Trò chuyện
87,Ngô Thị Cường,10.743984,106.745997,4.1,Trò chuyện
88,Vũ Minh Trí,10.744267,106.748707,4.6,Trò chuyện
89,Huỳnh Hữu Khoa,10.812972,106.701657,4.7,Im lặng
90,Trần Minh Cường,10.822941,106.674449,5.0,Trò chuyện
91,Nguyễn Minh Minh,10.751802,106.704467,4.4,Trò chuyện
92,Ngô Ngọc Long,10.77679,106.714265,4.9,Im lặng
93,Dương Minh Quân,10.827017,106.714358,3.9,Im lặng
94,Huỳnh Hữu Vinh,10.742289,106.661909,4.9,Trò chuyện
95,Phạm Ngọc Trí,10.825622,106.706016,4.7,Trò chuyện
96,Đặng Quang Khoa,10.718544,106.664283,4.9,Im lặng
97,Huỳnh Minh Trí,10.780668,106.614731,4.5,Trò chuyện
98,Nguyễn Đức Hải,10.805374,106.607705,3.6,Trò chuyện
99,Phạm Văn Khánh,10.761765,106.661245,4.4,Trò chuyện
100,Nguyễn Văn Dũng,10.729191,106.630805,4.5,Im lặng
101,Phan Minh Sơn,10.755259,106.668052,3.8,Trò chuyện
102,Lê Văn Phúc,10.762447,106.686302,4.7,Trò chuyện
103,Hồ Ngọc Tuấn,10.797775,106.614217,4.4,Trò chuyện
104,Đỗ Văn Nghĩa,10.810301,106.617332,4.6,Im lặng
105,Dương Văn Vinh,10.747354,106.679105,4.9,Im lặng
106,Bùi Ngọc Dũng,10.8113,106.69272,3.8,Im lặng
107,Võ Anh Hiếu,10.821653,106.686094,4.0,Im lặng
108,Lê Quang Phú,10.835169,106.681547,3.5,Trò chuyện
109,Nguyễn Anh Cường,10.822827,106.692024,4.8,Im lặng
110,Ngô Đức Phú,10.808956,106.742082,4.8,Im lặng
111,Võ Minh Trí,10.842532,106.647118,3.7,Trò chuyện
112,Trần Anh Huy,10.747667,106.654308,4.8,Trò chuyện
113,Bùi Anh Khoa,10.81573,106.695682,4.4,Trò chuyện
114,Hoàng Anh Đạt,10.724524,106.629493,4.6,Trò chuyện
115,Trần Đức Bình,10.828869,106.644934,4.2,Trò chuyện
116,Dương Đức Bình,10.837234,106.627692,4.6,Im lặng
117,Nguyễn Ngọc Việt,10.734534,106.746128,4.5,Trò chuyện
118,Huỳnh Quang Huy,10.760083,106.662245,3.9,Im lặng
119,Phạm Minh Sơn,10.742104,106.651505,4.6,Im lặng
120,Lý Ngọc Quang,10.729716,106.735187,4.6,Trò chuyện
121,Vũ Thị Lâm,10.7031,106.640086,4.9,Trò chuyện
122,Bùi Hữu Vinh,10.722119,106.63596,3.9,Trò chuyện
123,Đặng Văn Hải,10.723008,106.634101,3.9,Im lặng
124,Vũ Đức Long,10.821729,106.642827,4.2,Im lặng
125,Dương Đức Bình,10.716542,106.704488,4.1,Im lặng
126,Dương Thị Quang,10.761579,106.606977,3.6,Im lặng
127,Hoàng Đức Dũng,10.820716,106.696387,3.7,Trò chuyện
128,Đỗ Thị Long,10.763658,106.605698,4.3,Trò chuyện
129,Nguyễn Đức Đạt,10.804157,106.698289,4.8,Trò chuyện
130,Phan Văn Lâm,10.791898,106.646096,4.7,Trò chuyện
131,Ngô Ngọc Tùng,10.744965,106.707688,3.7,Im lặng
132,Bùi Anh Cường,10.836767,106.689048,4.2,Trò chuyện
133,Đặng Quang Nam,10.708851,106.623112,4.9,Im lặng
134,Võ Hữu Sơn,10.760414,106.645729,3.6,Im lặng
135,Đặng Quang Thắng,10.763045,106.713816,3.8,Trò chuyện
136,Dương Quang Nghĩa,10.753881,106.706617,5.0,Im lặng
137,Phạm Minh Bảo,10.84649,106.603842,3.8,Im lặng
138,Bùi Hữu Sơn,10.766664,106.735236,4.9,Trò chuyện
139,Trần Minh Tuấn,10.713658,106.625978,4.5,Im lặng
140,Vũ Ngọc Phúc,10.759944,106.720301,4.0,Trò chuyện
141,Võ Đức Thịnh,10.811063,106.73722,3.6,Im lặng
142,Đỗ Minh Quang,10.749949,106.611257,4.5,Im lặng
143,Đặng Minh Hải,10.848417,106.627754,3.9,Im lặng
144,Hoàng Ngọc Tùng,10.829458,106.646635,4.9,Im lặng
145,Hoàng Đức Tuấn,10.789785,106.665389,4.1,Trò chuyện
146,Vũ Thị Thịnh,10.785702,106.693378,3.6,Trò chuyện
147,Hoàng Hữu Khánh,10.792197,106.621087,4.0,Trò chuyện
148,Võ Ngọc Tùng,10.72083,106.666461,5.0,Trò chuyện
149,Phan Minh Quân,10.790715,106.670634,4.7,Trò chuyện
150,Phan Đức Sơn,10.75527,106.631175,4.0,Trò chuyện
151,Bùi Văn Quân,10.765191,106.695568,4.2,Trò chuyện
152,Dương Minh Vinh,10.718517,106.713786,3.7,Trò chuyện
153,Phạm Hữu Huy,10.834373,106.670815,4.8,Im lặng
154,Ngô Minh Hải,10.820415,106.672158,3.6,Trò chuyện
155,Lê Anh Phú,10.77261,106.726895,4.9,Trò chuyện
156,Hồ Hữu Cường,10.704039,106.680692,3.9,Trò chuyện
157,Phạm Thị Đạt,10.804493,106.687369,3.5,Im lặng
158,Vũ Anh Khoa,10.761181,106.6318,4.1,Trò chuyện
159,Hồ Quang Hiếu,10.82443,106.615117,5.0,Trò chuyện
160,Ngô Quang Khánh,10.734179,106.700517,4.8,Trò chuyện
161,Ngô Văn Thịnh,10.733158,106.680565,4.1,Trò chuyện
162,Lê Văn Trung,10.765718,106.633405,4.2,Im lặng
163,Lý Anh Phúc,10.780553,106.693318,3.6,Trò chuyện
164,Phạm Anh Hiếu,10.823716,106.728808,4.8,Trò chuyện
165,Lê Minh Sơn,10.770051,106.658334,4.1,Im lặng
166,Võ Quang Thắng,10.757275,106.667643,3.8,Im lặng
167,Bùi Ngọc An,10.84682,106.629226,4.9,Trò chuyện
168,Dương Hữu Phong,10.763404,106.740647,4.3,Im lặng
169,Phạm Anh Phú,10.823835,106.739233,4.2,Trò chuyện
170,Phan Ngọc Vinh,10.712968,106.744606,4.1,Im lặng
171,Lý Minh Sơn,10.799725,106.665912,3.6,Trò chuyện
172,Đặng Hữu Khoa,10.761295,106.665785,4.1,Im lặng
173,Vũ Ngọc Trung,10.75529,106.726122,4.8,Im lặng
174,Võ Minh Sơn,10.758884,106.71743,3.6,Trò chuyện
175,Lê Văn Phong,10.715626,106.625656,3.9,Trò chuyện
176,Đỗ Anh Hải,10.707181,106.634121,4.3,Im lặng
177,Hoàng Hữu Long,10.734951,106.606907,3.6,Im lặng
178,Lý Thị Hiếu,10.756987,106.647343,3.5,Im lặng
179,Phan Ngọc Tuấn,10.838607,106.689473,4.9,Trò chuyện
180,Hồ Đức Phú,10.804673,106.642574,4.2,Im lặng
181,Vũ Văn Bảo,10.726706,106.614275,4.8,Im lặng
182,Phạm Ngọc Nam,10.806008,106.660733,3.6,Im lặng
183,Hồ Quang Nam,10.793927,106.674969,4.8,Trò chuyện
184,Lê Ngọc Sơn,10.701129,106.60187,4.6,Trò chuyện
185,Ngô Hữu Cường,10.847539,106.660356,4.4,Im lặng
186,Bùi Văn Trí,10.833964,106.670734,4.5,Trò chuyện
187,Dương Anh Quân,10.807896,106.626294,4.7,Trò chuyện
188,Ngô Thị Bảo,10.726999,106.731683,4.0,Trò chuyện
189,Huỳnh Anh Đạt,10.767338,106.726991,4.6,Im lặng
190,Đỗ Quang Nghĩa,10.798577,106.604287,5.0,Im lặng
191,Phạm Anh Long,10.762447,106.712735,4.1,Im lặng
192,Đỗ Thị Lâm,10.719386,106.681822,4.0,Im lặng
193,Trần Thị Phong,10.849129,106.643503,4.1,Im lặng
194,Bùi Quang Việt,10.776617,106.731704,4.0,Im lặng
195,Ngô Anh Bình,10.716688,106.735679,4.2,Trò chuyện
196,Huỳnh Minh Phúc,10.758037,106.722652,4.0,Im lặng
197,Lý Ngọc Đạt,10.848076,106.680198,4.1,Trò chuyện
198,Hồ Ngọc Cường,10.773183,106.743605,4.8,Im lặng
199,Hoàng Quang Phong,10.838028,106.700467,4.7,Trò chuyện
200,Lý Đức Quang,10.75539,106.661501,4.8,Im lặng
201,Ngô Đức Trung,10.801837,106.614156,4.3,Im lặng
202,Phạm Đức Việt,10.703807,106.731034,4.4,Trò chuyện
203,Nguyễn Minh Trung,10.817891,106.62282,4.0,Im lặng
204,Phan Đức Quang,10.710018,106.721571,4.2,Im lặng
205,Vũ Minh Phú,10.760546,106.670809,5.0,Trò chuyện
206,Trần Quang Hải,10.716444,106.747799,3.6,Trò chuyện
207,Phạm Quang Phú,10.792987,106.722161,3.5,Trò chuyện
208,Trần Ngọc Nghĩa,10.784331,106.722691,4.1,Trò chuyện
209,Võ Minh Nam,10.806827,106.714678,4.7,Trò chuyện
210,Hồ Đức Hiếu,10.837822,106.680281,4.1,Trò chuyện
211,Ngô Quang Hải,10.821099,106.630838,3.9,Im lặng
212,Phan Hữu Khoa,10.786478,106.658539,3.8,Trò chuyện
213,Lê Quang Tuấn,10.744647,106.696863,3.9,Trò chuyện
214,Bùi Văn Việt,10.791851,106.737052,3.9,Trò chuyện
215,Ngô Anh Lâm,10.797884,106.644919,4.3,Trò chuyện
216,Phan Văn Hiếu,10.773595,106.638046,4.7,Im lặng
217,Huỳnh Hữu Thắng,10.755812,106.614142,4.9,Im lặng
218,Trần Anh Nam,10.817789,106.625594,3.6,Trò chuyện
219,Đỗ Hữu Vinh,10.743902,106.62861,4.9,Im lặng
220,Ngô Hữu Quang,10.76388,106.723169,4.7,Im lặng
221,Bùi Đức Long,10.720052,106.725214,4.0,Trò chuyện
222,Đặng Anh Cường,10.735238,106.749552,3.7,Trò chuyện
223,Lý Thị Tuấn,10.705686,106.638726,3.5,Im lặng
224,Lê Quang Bảo,10.784997,106.664253,4.0,Im lặng
225,Phạm Văn Hải,10.801139,106.624441,4.7,Im lặng
226,Hồ Hữu Thịnh,10.758978,106.613497,4.6,Trò chuyện
227,Hoàng Hữu Dũng,10.842212,106.713556,3.8,Trò chuyện
228,Huỳnh Minh An,10.792325,106.65459,4.3,Trò chuyện
229,Nguyễn Anh Sơn,10.749395,106.722045,3.5,Trò chuyện
230,Phạm Văn Vinh,10.732571,106.631881,4.0,Im lặng
231,Huỳnh Thị Huy,10.82711,106.635837,4.4,Im lặng
232,Ngô Quang Nghĩa,10.754024,106.623479,4.8,Trò chuyện
233,Võ Đức An,10.745402,106.730316,3.8,Trò chuyện
234,Phan Anh Cường,10.77513,106.617243,4.2,Trò chuyện
235,Ngô Minh Nam,10.787339,106.640093,4.9,Trò chuyện
236,Vũ Thị Hiếu,10.732262,106.692149,3.6,Trò chuyện
237,Trần Thị Việt,10.848509,106.687441,3.7,Trò chuyện
238,Bùi Thị Phúc,10.761478,106.608236,3.7,Im lặng
239,Bùi Quang Quân,10.710998,106.680658,4.5,Trò chuyện
240,Bùi Hữu Huy,10.731696,106.645364,5.0,Trò chuyện
241,Phạm Minh Hiếu,10.808047,106.703348,3.6,Trò chuyện
242,Võ Đức Long,10.734789,106.678177,4.8,Trò chuyện
243,Ngô Anh Dũng,10.838086,106.6979,4.8,Trò chuyện
244,Đặng Minh Đạt,10.706438,106.706368,3.9,Trò chuyện
245,Đặng Đức Quang,10.71345,106.642427,3.7,Trò chuyện
246,Đặng Minh Đạt,10.809864,106.652751,4.8,Im lặng
247,Hoàng Hữu Hải,10.823044,106.634629,4.0,Im lặng
248,Nguyễn Quang Nam,10.802373,106.631877,4.5,Im lặng
249,Vũ Thị Tuấn,10.747363,106.726388,4.4,Im lặng
250,Lê Minh Quân,10.725866,106.745345,4.9,Im lặng
251,Phan Ngọc Nghĩa,10.753893,106.649638,4.8,Im lặng
252,Dương Đức Thịnh,10.823328,106.709422,3.8,Im lặng
253,Phan Văn Bình,10.747232,106.648255,3.7,Trò chuyện
254,Phạm Thị Tùng,10.744435,106.730783,4.9,Trò chuyện
255,Hoàng Văn Phúc,10.768362,106.643637,4.0,Trò chuyện
256,Dương Đức Sơn,10.793855,106.69207,4.2,Trò chuyện
257,Lê Đức Tuấn,10.796874,106.727104,4.9,Trò chuyện
258,Huỳnh Thị Nam,10.820167,106.678106,4.2,Im lặng
259,Trần Minh Tùng,10.771683,106.67256,4.5,Im lặng
260,Phan Minh Thịnh,10.719568,106.636108,4.0,Im lặng
261,Lý Ngọc Bình,10.77512,106.692019,4.75,Trò chuyện
262,Ngô Đức Thịnh,10.769929,106.674768,3.6,Trò chuyện
263,Trần Minh Long,10.725335,106.687462,3.8,Im lặng
264,Vũ Hữu Dũng,10.786755,106.640004,5.0,Trò chuyện
265,Đỗ Đức Thắng,10.809903,106.614121,4.0,Trò chuyện
266,Đỗ Minh Dũng,10.803013,106.652332,4.0,Im lặng
267,Vũ Anh Phúc,10.811899,106.712958,4.3,Trò chuyện
268,Dương Minh Phú,10.705053,106.744474,4.2,Trò chuyện
269,Bùi Quang Nghĩa,10.827629,106.711956,4.7,Im lặng
270,Phạm Minh Trung,10.826574,106.64589,4.5,Im lặng
271,Bùi Hữu Tùng,10.751362,106.650404,3.5,Trò chuyện
272,Võ Thị Long,10.792274,106.664998,4.9,Im lặng
273,Hồ Anh Thịnh,10.706694,106.746062,3.7,Trò chuyện
274,Bùi Thị Khoa,10.789422,106.602615,4.6,Trò chuyện
275,Vũ Anh Lâm,10.704581,106.717779,4.8,Trò chuyện
276,Huỳnh Đức Cường,10.785454,106.746014,4.9,Im lặng
277,Trần Hữu Phú,10.715639,106.68579,4.1,Im lặng
278,Hồ Quang Đạt,10.84838,106.708395,4.7,Im lặng
279,Bùi Thị Nam,10.79226,106.616363,4.9,Im lặng
280,Đặng Anh Bảo,10.702834,106.646207,3.6,Trò chuyện
281,Phan Văn Dũng,10.81112,106.73269,4.6,Trò chuyện
282,Phan Anh Tùng,10.762737,106.713206,4.3,Trò chuyện
283,Dương Quang Trí,10.731743,106.674525,4.8,Im lặng
284,Võ Ngọc Phong,10.708591,106.694413,4.0,Trò chuyện
285,Trần Ngọc Cường,10.744945,106.610265,4.2,Trò chuyện
286,Phan Văn Trung,10.803315,106.633273,3.5,Im lặng
287,Bùi Anh Minh,10.76653,106.675939,3.9,Trò chuyện
288,Bùi Đức Dũng,10.803641,106.714489,4.4,Trò chuyện
289,Bùi Minh Bảo,10.724077,106.720574,3.7,Trò chuyện
290,Phạm Thị An,10.706811,106.641643,4.3,Trò chuyện
291,Nguyễn Thị Quân,10.719193,106.600585,4.4,Trò chuyện
292,Lý Quang Bình,10.790266,106.654143,4.4,Trò chuyện
293,Vũ Hữu Đạt,10.752225,106.613702,4.5,Trò chuyện
294,Huỳnh Thị Khánh,10.797797,106.697177,4.4,Trò chuyện
295,Đặng Minh Phong,10.790863,106.701671,3.5,Trò chuyện
296,Trần Minh Trung,10.755304,106.730003,3.5,Im lặng
297,Bùi Anh Khoa,10.849177,106.626757,4.8,Trò chuyện
298,Ngô Hữu Đạt,10.711982,106.692565,3.8,Trò chuyện
299,Phạm Quang Quang,10.802885,106.601788,3.8,Trò chuyện
300,Đặng Văn Long,10.832039,106.746783,3.9,Trò chuyện
301,Hoàng Văn Hải,10.731582,106.693758,3.6,Im lặng
302,Lê Thị Huy,10.809032,106.740227,3.9,Im lặng
303,Lý Văn Sơn,10.761976,106.664091,4.4,Trò chuyện
304,Bùi Đức Phong,10.725525,106.700121,4.9,Im lặng
305,Dương Thị Minh,10.843466,106.689675,3.5,Trò chuyện
306,Đỗ Minh Tùng,10.700797,106.732224,4.6,Im lặng
307,Ngô Anh Sơn,10.783018,106.607178,3.6,Im lặng
308,Phạm Anh Lâm,10.748228,106.649351,3.7,Im lặng
309,Đặng Thị Quân,10.843966,106.633171,4.7,Im lặng
310,Ngô Ngọc Huy,10.818995,106.662353,4.0,Trò chuyện
311,Võ Anh Bình,10.780236,106.605502,4.7,Trò chuyện
312,Võ Văn Bảo,10.837307,106.702902,4.8,Trò chuyện
313,Hồ Minh Nam,10.742809,106.749262,4.0,Im lặng
314,Vũ Quang Lâm,10.775548,106.615101,4.5,Trò chuyện
315,Dương Đức Phúc,10.805215,106.630611,4.2,Trò chuyện
316,Lê Thị Khoa,10.759844,106.642208,4.4,Trò chuyện
317,Đỗ Thị Huy,10.729518,106.689938,3.8,Im lặng
318,Lê Ngọc Phú,10.829388,106.709495,4.3,Trò chuyện
319,Huỳnh Anh Việt,10.813097,106.638042,4.1,Im lặng
320,Hoàng Quang Long,10.702362,106.614487,4.3,Trò chuyện
321,Dương Đức Trí,10.719112,106.728719,3.6,Trò chuyện
322,Lê Quang Quân,10.827395,106.627562,5.0,Trò chuyện
323,Phạm Văn Cường,10.841543,106.714541,3.9,Trò chuyện
324,Trần Văn Trí,10.839302,106.668308,3.9,Trò chuyện
325,Hồ Quang Thắng,10.756964,106.616357,3.7,Trò chuyện
326,Bùi Minh Đạt,10.832141,106.740618,4.9,Im lặng
327,Võ Thị Phúc,10.804727,106.71059,4.6,Trò chuyện
328,Phan Thị An,10.743678,106.684586,4.1,Im lặng
329,Vũ Thị Tùng,10.757645,106.735252,3.9,Trò chuyện
330,Võ Ngọc Việt,10.756271,106.691818,4.8,Im lặng
331,Trần Quang An,10.714469,106.606044,4.4,Trò chuyện
332,Phạm Quang Phong,10.801682,106.651908,4.6,Trò chuyện
333,Đỗ Anh Nam,10.772971,106.709889,3.9,Trò chuyện
334,Trần Thị Dũng,10.80335,106.613824,4.3,Im lặng
335,Hồ Anh Vinh,10.776884,106.747766,4.8,Im lặng
336,Dương Thị Thắng,10.745038,106.730586,4.4,Im lặng
337,Hoàng Đức Đạt,10.779436,106.610023,3.9,Trò chuyện
338,Võ Minh An,10.734964,106.748825,4.9,Im lặng
339,Hồ Minh Dũng,10.778945,106.702581,3.8,Trò chuyện
340,Ngô Ngọc Khánh,10.724499,106.647585,3.8,Im lặng
341,Hồ Thị Bảo,10.797641,106.674597,4.6,Im lặng
342,Hồ Minh Huy,10.726617,106.670999,4.2,Im lặng
343,Lý Văn Vinh,10.738001,106.682202,4.0,Trò chuyện
344,Đỗ Văn Bảo,10.702766,106.718156,3.6,Trò chuyện
345,Hồ Thị Quân,10.77531,106.706945,4.1,Im lặng
346,Nguyễn Đức Phú,10.796397,106.701652,3.9,Im lặng
347,Đỗ Thị Minh,10.830672,106.701111,3.9,Im lặng
348,Dương Ngọc Minh,10.848654,106.633734,4.5,Im lặng
349,Đỗ Ngọc Bình,10.704524,106.623657,4.7,Trò chuyện
350,Vũ Ngọc Hiếu,10.741023,106.714515,4.8,Im lặng
351,Hoàng Hữu Bình,10.840469,106.67535,4.5,Im lặng
352,Hồ Hữu Tùng,10.749432,106.726313,4.6,Im lặng
353,Đỗ Văn Sơn,10.762077,106.621651,4.4,Im lặng
354,Phạm Ngọc Phúc,10.710716,106.625071,3.6,Trò chuyện
355,Đặng Đức Phú,10.823874,106.626124,4.4,Trò chuyện
356,Võ Minh Phúc,10.767974,106.713168,3.8,Trò chuyện
357,Nguyễn Đức Cường,10.736994,106.7491,4.5,Im lặng
358,Dương Ngọc Quang,10.782927,106.63337,4.8,Im lặng
359,Đỗ Quang An,10.777106,106.648026,4.0,Trò chuyện
360,Lê Anh Phúc,10.716998,106.600856,4.4,Im lặng
361,Võ Văn Nam,10.71468,106.630718,3.9,Trò chuyện
362,Phạm Hữu Sơn,10.732819,106.732575,4.2,Im lặng
363,Đặng Minh Khoa,10.738875,106.696556,4.2,Im lặng
364,Ngô Hữu Khánh,10.76115,106.716863,4.1,Im lặng
365,Nguyễn Văn Bảo,10.745915,106.613282,4.1,Im lặng
366,Đặng Đức Trí,10.717418,106.700584,3.9,Trò chuyện
367,Lý Thị Khánh,10.739415,106.684662,4.5,Im lặng
368,Phạm Văn Quân,10.743033,106.636095,4.1,Trò chuyện
369,Dương Văn Quân,10.816936,106.74917,4.5,Im lặng
370,Huỳnh Ngọc Minh,10.767166,106.749049,4.2,Trò chuyện
371,Vũ Đức Bình,10.73203,106.662416,3.7,Trò chuyện
372,Dương Thị Hải,10.735651,106.625227,4.8,Im lặng
373,Phạm Hữu Khánh,10.793614,106.632374,4.7,Trò chuyện
374,Huỳnh Hữu Đạt,10.761695,106.636072,5.0,Trò chuyện
375,Phạm Ngọc An,10.827538,106.687028,3.7,Im lặng
376,Bùi Anh Tuấn,10.847266,106.716434,4.0,Im lặng
377,Hoàng Quang Minh,10.794858,106.603779,4.7,Im lặng
378,Dương Ngọc Nghĩa,10.803621,106.601334,3.7,Trò chuyện
379,Phạm Thị Long,10.848807,106.726629,4.7,Trò chuyện
380,Võ Đức Hiếu,10.803681,106.718816,4.1,Im lặng
381,Nguyễn Quang Việt,10.798027,106.6888,3.8,Im lặng
382,Huỳnh Thị Thắng,10.821024,106.672139,3.9,Trò chuyện
383,Đỗ Thị Nam,10.724489,106.666565,5.0,Trò chuyện
384,Bùi Đức Phú,10.760751,106.629319,4.0,Trò chuyện
385,Ngô Ngọc Nghĩa,10.740372,106.62871,4.9,Trò chuyện
386,Lê Quang Bình,10.763088,106.616012,4.6,Im lặng
387,Đỗ Minh Quân,10.810323,106.707429,3.9,Im lặng
388,Bùi Thị Phong,10.746585,106.696026,4.0,Im lặng
389,Đỗ Thị Trí,10.712257,106.697485,3.7,Trò chuyện
390,Hoàng Quang Nghĩa,10.712392,106.605884,4.0,Trò chuyện
391,Ngô Hữu Phú,10.842727,106.623312,3.7,Im lặng
392,Đặng Quang Quân,10.751075,106.649129,4.7,Trò chuyện
393,Trần Ngọc Huy,10.791466,106.701093,4.9,Trò chuyện
394,Ngô Anh Khánh,10.700529,106.705355,4.7,Trò chuyện
395,Lê Hữu Cường,10.706984,106.609609,4.5,Trò chuyện
396,Huỳnh Hữu Phúc,10.792493,106.663906,3.8,Trò chuyện
397,Đỗ Văn Vinh,10.836463,106.697545,4.5,Trò chuyện
398,Vũ Minh Sơn,10.741088,106.661556,5.0,Im lặng
399,Lý Minh Khánh,10.821425,106.674567,4.5,Trò chuyện
